bin_lo,bin_hi,count,p_mean,y_mean,Tdays,delta,y_wilson_lo,y_wilson_hi,abs_calib_gap,sq_calib_gap
0.0,0.1,319,0.008215864530449852,0.01567398119122257,20,0.2,0.006713088305989403,0.03616076956609282,0.007458116660772717,5.562350412569558e-05
0.1,0.2,28,0.14407630118306083,0.14285714285714285,20,0.2,0.05699005319749392,0.31489802163525293,0.001219158325917985,1.4863470236551438e-06
0.2,0.30000000000000004,21,0.23898788647875294,0.14285714285714285,20,0.2,0.04981012499725268,0.34636060280620945,0.09613074362161009,0.009241119869243728
0.30000000000000004,0.4,18,0.35360604854596855,0.5555555555555556,20,0.2,0.33716415642042774,0.7544048187299437,0.20194950700958703,0.04078360338141524
0.4,0.5,14,0.4401205559101019,0.5714285714285714,20,0.2,0.3259064457965074,0.7861920109552588,0.1313080155184695,0.017241794939398623
0.5,0.6000000000000001,11,0.5553119806560146,0.45454545454545453,20,0.2,0.21271271622459764,0.719908462590678,0.10076652611056008,0.010153892784390188
0.6000000000000001,0.7000000000000001,7,0.6558891830749919,0.42857142857142855,20,0.2,0.15821985525146975,0.7495416354723428,0.22731775450356334,0.051673361512542294
0.7000000000000001,0.8,3,0.7480236737004727,1.0,20,0.2,0.4385029682449546,1.0,0.25197632629952726,0.06349206901540584
0.8,0.9,5,0.813131185824034,0.6,20,0.2,0.2307242812760128,0.882379225767352,0.213131185824034,0.04542490237075891
0.9,1.0,37,1.0,1.0,20,0.2,0.9059421741627975,1.0,0.0,0.0
0.0,0.1,429,0.0010556237896323535,0.013986013986013986,20,0.3,0.006425260419529346,0.030173495309312466,0.012930390196381633,0.00016719499063068226
0.1,0.2,6,0.16209406640347443,1.0,20,0.3,0.6096657120978346,1.0,0.8379059335965255,0.702086353556265
0.2,0.30000000000000004,2,0.25378487766801,1.0,20,0.3,0.34238022750665303,1.0,0.7462151223319899,0.5568370087969468
0.30000000000000004,0.4,1,0.3004593726865281,1.0,20,0.3,0.20654931437723745,1.0,0.6995406273134719,0.4893570892621258
0.4,0.5,2,0.4687021437999255,1.0,20,0.3,0.34238022750665303,1.0,0.5312978562000745,0.28227741200279505
0.5,0.6000000000000001,0,,,20,0.3,,,,
0.6000000000000001,0.7000000000000001,2,0.6605688716391713,1.0,20,0.3,0.34238022750665303,1.0,0.33943112836082867,0.11521349090030535
0.7000000000000001,0.8,1,0.7278974262660601,1.0,20,0.3,0.20654931437723745,1.0,0.27210257373393987,0.07403981063263418
0.8,0.9,0,,,20,0.3,,,,
0.9,1.0,20,1.0,1.0,20,0.3,0.8388748419471806,1.0,0.0,0.0
0.0,0.1,241,0.022489559993825414,0.07468879668049792,60,0.2,0.04776352170141906,0.1149599770581248,0.05219923668667251,0.002724760310671257
0.1,0.2,56,0.13678226138022917,0.2857142857142857,60,0.2,0.18418775143858906,0.4147525071551667,0.14893202433405653,0.022180747872240007
0.2,0.30000000000000004,22,0.24883792829994703,0.5,60,0.2,0.3072210627372502,0.6927789372627497,0.251162071700053,0.06308238626066257
0.30000000000000004,0.4,26,0.35358223413165396,0.15384615384615385,60,0.2,0.06150033723578355,0.3353119932821348,0.1997360802855001,0.03989450176781575
0.4,0.5,21,0.4503913801250675,0.14285714285714285,60,0.2,0.04981012499725268,0.34636060280620945,0.30753423726792467,0.09457730709196419
0.5,0.6000000000000001,23,0.5559969182578053,0.6956521739130435,60,0.2,0.49134243731240795,0.8439597554678597,0.13965525565523818,0.019503590432129934
0.6000000000000001,0.7000000000000001,15,0.643360440360599,0.8,60,0.2,0.5481455128483065,0.9295245065301844,0.15663955963940102,0.02453595164402547
0.7000000000000001,0.8,13,0.7435523287345991,1.0,60,0.2,0.7719046276458016,0.9999999999999999,0.2564476712654009,0.06576540809744713
0.8,0.9,9,0.8543836445593979,1.0,60,0.2,0.7008549515804559,1.0,0.14561635544060214,0.021204122971803782
0.9,1.0,37,1.0,1.0,60,0.2,0.9059421741627975,1.0,0.0,0.0
0.0,0.1,417,0.014473337075867563,0.08633093525179857,60,0.3,0.06300971066755368,0.11720413763822252,0.071857598175931,0.005163514415613562
0.1,0.2,11,0.12020708596646502,0.8181818181818182,60,0.3,0.523019438039156,0.9486323102539149,0.6979747322153532,0.487168726811094
0.2,0.30000000000000004,1,0.2737280174279934,1.0,60,0.3,0.20654931437723745,1.0,0.7262719825720065,0.5274709926690729
0.30000000000000004,0.4,3,0.35091648034358935,1.0,60,0.3,0.4385029682449546,1.0,0.6490835196564106,0.42130941548955403
0.4,0.5,5,0.4391800811384341,1.0,60,0.3,0.5655175352168251,1.0,0.5608199188615659,0.3145189813918934
0.5,0.6000000000000001,1,0.5109887632097276,1.0,60,0.3,0.20654931437723745,1.0,0.48901123679027236,0.23913198970715183
0.6000000000000001,0.7000000000000001,2,0.6520625511963818,1.0,60,0.3,0.34238022750665303,1.0,0.3479374488036182,0.12106046827997044
0.7000000000000001,0.8,2,0.7873231774568773,1.0,60,0.3,0.34238022750665303,1.0,0.2126768225431227,0.04523143084703891
0.8,0.9,1,0.8258213429446354,1.0,60,0.3,0.20654931437723745,1.0,0.17417865705536462,0.03033820457361032
0.9,1.0,20,1.0,1.0,60,0.3,0.8388748419471806,1.0,0.0,0.0
